page,route_header,source,destination,total_stations,intermediate_stations
2,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
4,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
6,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
8,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
10,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
12,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
14,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
16,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
18,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
20,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
22,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
24,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
26,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
28,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
30,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
32,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
34,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
36,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
38,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
40,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
42,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
44,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
46,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
48,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
